"id","student_id","subject_id","grade","date_received"
1,34,2,7.0,2024-02-10
2,29,6,5.0,2024-02-01
3,22,7,2.0,2024-01-07
4,35,8,6.0,2024-01-24
5,5,1,6.0,2024-01-04
6,24,8,1.0,2024-01-31
7,27,5,8.0,2024-01-28
8,27,2,4.0,2024-01-21
9,15,1,6.0,2024-02-05
10,36,5,4.0,2024-01-30
11,24,1,7.0,2024-02-01
12,35,7,9.0,2024-02-08
13,27,2,5.0,2024-02-06
14,34,8,6.0,2024-01-22
15,40,5,3.0,2024-01-08
16,3,8,1.0,2024-01-29
17,13,3,1.0,2024-02-15
18,31,2,4.0,2024-01-20
19,14,6,9.0,2024-01-03
20,7,7,5.0,2024-01-23
21,12,2,8.0,2024-01-09
22,8,2,9.0,2024-01-04
23,31,8,2.0,2024-01-15
24,23,1,5.0,2024-01-18
25,20,4,4.0,2024-02-15
26,29,2,6.0,2024-02-12
27,9,3,5.0,2024-02-04
28,12,5,9.0,2024-02-12
29,4,4,2.0,2024-02-04
30,17,1,3.0,2024-02-06
31,37,7,1.0,2024-02-03
32,6,7,1.0,2024-01-14
33,11,1,4.0,2024-01-24
34,3,8,4.0,2024-02-13
35,9,3,1.0,2024-02-10
36,34,8,1.0,2024-02-12
37,32,4,8.0,2024-01-19
38,32,5,7.0,2024-01-21
39,6,4,1.0,2024-01-25
40,8,6,4.0,2024-01-28
41,28,8,4.0,2024-01-11
42,36,8,6.0,2024-02-01
43,16,8,10.0,2024-01-29
44,28,3,6.0,2024-01-28
45,25,2,4.0,2024-01-20
46,4,6,7.0,2024-01-06
47,36,2,6.0,2024-02-08
48,30,8,4.0,2024-01-14
49,25,5,2.0,2024-01-24
50,14,8,9.0,2024-02-05
51,35,1,8.0,2024-01-01
52,4,2,1.0,2024-01-20
53,14,8,8.0,2024-02-12
54,4,6,7.0,2024-02-08
55,20,6,2.0,2024-01-31
56,35,4,10.0,2024-02-16
57,28,5,10.0,2024-02-09
58,30,1,10.0,2024-01-25
59,3,5,2.0,2024-01-21
60,14,4,8.0,2024-01-16
61,30,6,2.0,2024-01-08
62,13,8,10.0,2024-01-23
63,10,8,5.0,2024-02-09
64,30,1,5.0,2024-02-04
65,38,2,4.0,2024-01-07
66,11,4,9.0,2024-02-01
67,38,2,7.0,2024-02-16
68,17,1,10.0,2024-02-04
69,14,4,1.0,2024-01-26
70,20,4,1.0,2024-01-14
71,23,7,9.0,2024-02-08
72,36,4,3.0,2024-01-19
73,24,4,5.0,2024-01-10
74,6,4,2.0,2024-02-14
75,13,5,7.0,2024-01-04
76,12,6,4.0,2024-02-09
77,19,5,10.0,2024-02-11
78,5,7,10.0,2024-02-18
79,16,2,8.0,2024-01-04
80,31,8,3.0,2024-01-09
81,17,8,7.0,2024-01-02
82,21,5,2.0,2024-01-04
83,26,2,7.0,2024-01-01
84,32,7,6.0,2024-02-14
85,15,2,1.0,2024-02-03
86,13,8,7.0,2024-02-17
87,26,2,3.0,2024-01-04
88,16,2,2.0,2024-01-28
89,11,1,5.0,2024-01-15
90,16,5,6.0,2024-01-16
91,36,4,7.0,2024-02-15
92,25,6,2.0,2024-02-11
93,15,2,3.0,2024-01-26
94,16,1,5.0,2024-02-10
95,13,1,5.0,2024-02-01
96,3,3,7.0,2024-02-05
97,37,7,2.0,2024-01-18
98,4,3,4.0,2024-02-05
99,2,4,4.0,2024-02-18
100,40,1,3.0,2024-02-01
101,11,3,2.0,2024-01-27
102,16,3,8.0,2024-02-14
103,20,4,4.0,2024-01-16
104,36,8,4.0,2024-01-19
105,27,4,3.0,2024-01-09
106,4,4,1.0,2024-01-06
107,29,8,8.0,2024-01-13
108,22,3,2.0,2024-01-04
109,15,6,7.0,2024-01-15
110,26,3,4.0,2024-01-05
111,39,1,2.0,2024-01-13
112,26,2,1.0,2024-02-08
113,30,2,9.0,2024-01-16
114,28,5,10.0,2024-01-31
115,17,3,1.0,2024-01-31
116,23,2,6.0,2024-02-08
117,40,2,3.0,2024-02-04
118,12,5,5.0,2024-02-09
119,33,5,9.0,2024-01-24
120,1,2,5.0,2024-02-09
121,2,3,3.0,2024-02-18
122,5,7,8.0,2024-01-18
123,29,5,1.0,2024-01-26
124,14,8,10.0,2024-01-16
125,15,2,9.0,2024-01-08
126,20,2,5.0,2024-01-14
127,15,7,3.0,2024-01-17
128,24,6,2.0,2024-01-01
129,15,1,5.0,2024-01-14
130,2,1,8.0,2024-01-04
131,21,2,5.0,2024-02-05
132,16,2,10.0,2024-01-17
133,15,5,1.0,2024-02-01
134,25,7,10.0,2024-01-02
135,20,8,9.0,2024-01-29
136,13,8,7.0,2024-01-05
137,38,6,5.0,2024-02-08
138,29,8,7.0,2024-02-13
139,13,4,3.0,2024-01-02
140,31,4,1.0,2024-01-11
141,35,5,6.0,2024-01-15
142,11,3,2.0,2024-01-18
143,18,2,9.0,2024-01-18
144,13,8,4.0,2024-01-23
145,32,3,8.0,2024-01-08
146,34,3,10.0,2024-02-07
147,22,7,5.0,2024-01-10
148,27,4,10.0,2024-01-17
149,37,5,10.0,2024-02-13
150,12,1,8.0,2024-01-21
151,15,8,9.0,2024-01-22
152,33,8,4.0,2024-01-08
153,20,5,4.0,2024-02-13
154,31,3,6.0,2024-02-05
155,24,2,6.0,2024-02-11
156,15,6,1.0,2024-01-30
157,3,3,9.0,2024-01-27
158,29,2,2.0,2024-02-16
159,33,7,9.0,2024-02-02
160,20,7,1.0,2024-01-26
161,38,4,8.0,2024-02-09
162,11,4,2.0,2024-02-18
163,23,5,10.0,2024-01-26
164,1,2,2.0,2024-01-18
165,32,4,2.0,2024-01-18
166,30,8,9.0,2024-01-08
167,3,3,2.0,2024-01-07
168,36,1,8.0,2024-01-01
169,7,6,2.0,2024-02-02
170,17,4,7.0,2024-01-27
171,10,3,6.0,2024-02-11
172,32,5,3.0,2024-01-06
173,11,4,2.0,2024-01-06
174,35,2,3.0,2024-02-11
175,19,5,10.0,2024-02-03
176,25,4,1.0,2024-02-08
177,35,7,10.0,2024-01-30
178,23,2,9.0,2024-01-13
179,13,2,1.0,2024-01-11
180,21,2,5.0,2024-02-06
181,5,4,4.0,2024-01-30
182,16,7,4.0,2024-01-06
183,33,6,6.0,2024-01-20
184,16,3,7.0,2024-01-20
185,19,7,1.0,2024-01-30
186,5,2,9.0,2024-02-05
187,25,1,6.0,2024-01-19
188,27,3,9.0,2024-01-31
189,26,2,1.0,2024-01-30
190,37,7,8.0,2024-01-22
191,19,1,3.0,2024-01-17
192,3,8,7.0,2024-02-18
193,31,7,1.0,2024-02-09
194,7,3,6.0,2024-02-15
195,36,4,3.0,2024-01-06
196,33,3,9.0,2024-01-15
197,25,2,9.0,2024-01-10
198,18,4,10.0,2024-02-14
199,40,4,1.0,2024-01-02
200,16,6,4.0,2024-02-10
